Status,DAMS_ARK,New Predicate,Clean_Label (used for reconciliation can probably be deleted),Action,clustering label,clustering id,MARC_tag,Sample_Object_ARK,Object_Counts
original no match,http://library.ucsd.edu/ark:/20775/bb7920390h,dams:temporal,1990-2013,Local,1990-2013,,,http://library.ucsd.edu/dc/object/bb46780463,2
original no match,http://library.ucsd.edu/ark:/20775/bb8671245t,dams:temporal,1991-2013,Local,1991-2013,,,http://library.ucsd.edu/dc/object/bb0548317s,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb13665884,not a subject,1992-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb0308642s,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb6860971m,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1059580t,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb49162708,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1605584d,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb6860971m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb21517556,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb3448693h,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2902522k,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb6860971m,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4199461q,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb6860971m,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb63837841,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb06493140,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb77490564,dams:temporal,19th century,FAST,19th century,http://id.worldcat.org/fast/1037841,150,http://library.ucsd.edu/dc/object/bb41995348,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb1707890b,not a subject,2000-2009,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb2902425p,not a subject,2000-2009,Omit,,,,http://library.ucsd.edu/dc/object/bb4472183r,3
split from complex no match,http://library.ucsd.edu/ark:/20775/bb3004830d,not a subject,2000-2009,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
original no match,http://library.ucsd.edu/ark:/20775/bb1640463x,dams:temporal,2000-2015,Local,2000-2015,,,http://library.ucsd.edu/dc/object/bb5531286g,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb00015491,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb7168486n,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb0718194r,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb8874841c,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1673918q,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb4062659w,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1776147n,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb65202085,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb18786210,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9864745x,19
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2151664q,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9694299m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb26635269,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb1604926x,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3175562z,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb63834877,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3209747t,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9455534p,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb38580765,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb3892033q,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3926328h,dams:temporal,20th Century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb11955225,198
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4165237p,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9488142q,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb44041540,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb4847671s,77
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4438372m,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb63834877,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4472339b,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb2048767w,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb46771862,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb1161469g,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5223269g,dams:temporal,20th Century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb11955225,198
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb57010885,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb37212378,11
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6008327w,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb97622990,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6110795f,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9455534p,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb66908567,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb5017112k,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7032170r,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb7987800k,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7680723q,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb8260634f,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7714768k,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb83969426,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7919622v,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb68952988,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb8192585j,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb64513854,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb83633733,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9455534p,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb89776611,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb8260634f,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9114181s,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb3072875r,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb93189607,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb11615959,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9387127k,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb2868310k,28
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb93872690,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb1673507x,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb94895261,dams:temporal,20th Century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb82265580,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb95578723,dams:temporal,20th century,FAST,Twentieth century,http://id.worldcat.org/fast/1159810,150,http://library.ucsd.edu/dc/object/bb9694299m,1
original no match,http://library.ucsd.edu/ark:/20775/bb2527069b,dams:personalName,A. Ban,Local,A. Ban,,,http://library.ucsd.edu/dc/object/bb9216218n,1
original no match,http://library.ucsd.edu/ark:/20775/bb9011771d,dams:personalName,A. Keiler,Local,A. Keiler,,,http://library.ucsd.edu/dc/object/bb5291268s,1
original no match,http://library.ucsd.edu/ark:/20775/bb99674104,dams:personalName,A. Laporte,Local,A. Laporte,,,http://library.ucsd.edu/dc/object/bb5291268s,1
original no match,http://library.ucsd.edu/ark:/20775/bb9490001w,dams:personalName,A. Meaghan Hayes,Local,A. Meaghan Hayes,,,http://library.ucsd.edu/dc/object/bb0035604r,1
original no match,http://library.ucsd.edu/ark:/20775/bb4950707s,dams:personalName,A. Patel,Local,A. Patel,,,http://library.ucsd.edu/dc/object/bb6827476b,1
original no match,http://library.ucsd.edu/ark:/20775/bb8056130j,dams:personalName,A.C. Ashton,Local,A.C. Ashton,,,http://library.ucsd.edu/dc/object/bb5291268s,1
original no match,http://library.ucsd.edu/ark:/20775/bb1981059q,dams:corporateName,A.R. Robbins Marine Engine Works,Local,A.R. Robbins Marine Engine Works,,,http://library.ucsd.edu/dc/object/bb8738429j,6
original no match,http://library.ucsd.edu/ark:/20775/bb21179222,dams:personalName,Aaron Lee,Local,Aaron Lee,,,http://library.ucsd.edu/dc/object/bb3687332j,1
original no match,http://library.ucsd.edu/ark:/20775/bb8397843p,dams:personalName,Aaron M Rutman,Local,Aaron M Rutman,,,http://library.ucsd.edu/dc/object/bb81583623,1
original no match,http://library.ucsd.edu/ark:/20775/bb7339815h,dams:personalName,Aaron Richman,Local,Aaron Richman,,,http://library.ucsd.edu/dc/object/bb69298659,1
original no match,http://library.ucsd.edu/ark:/20775/bb0035578r,dams:personalName,Aaron Victor Cicourel,VIAF,"Cicourel, Aaron Victor, 1928-....",http://viaf.org/viaf/56672226,,http://library.ucsd.edu/dc/object/bb0922630m,3
