Status,DAMS_ARK,New Predicate,Clean_Label (used for reconciliation can probably be deleted),Action,clustering label,clustering id,MARC_tag,Sample_Object_ARK,Object_Counts
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb23563534,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb33118177,78
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2356442k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4881636g,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb23904785,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5837432d,10
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2390479p,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb84313211,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2492868n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb89773825,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb24928721,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7646326f,9
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb24928784,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb08204951,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb25270878,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6315076m,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2561301p,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5155178m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2595261x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8260654d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2595263z,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb32776874,16
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb26635248,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7851092d,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2697651d,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb60763486,34
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2731781w,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3755499w,68
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2731782d,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3141165x,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb27659116,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb91480348,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb27659865,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb9659834c,24
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb27660013,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb61102668,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2834172t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6281134r,10
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb29365629,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7987620n,26
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2970693r,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5905700n,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3004820x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb92845713,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3004823g,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4199196d,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3004898f,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb0854281c,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb30389514,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb52913488,53
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3073082h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb43698476,38
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb30730831,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7885226s,8
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3107213w,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb68954503,43
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3141338x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb80900016,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3141341s,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb07861796,24
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb31414129,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb9796334r,463
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb31754720,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb33459519,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3175550f,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb9250223k,9
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb31755530,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb1536894f,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3277862g,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3175280j,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3311990x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3345930t,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3311992z,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb49159297,12
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3346119b,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb1502931n,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb33461226,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3550722g,8
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb33461954,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6349223b,36
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb33802498,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb1366411p,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3380251m,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5052436d,126
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb33802524,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb83630418,16
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3414383w,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6315256j,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3414462v,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb32775226,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb34485089,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb1161609g,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb34826413,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5291341n,18
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3482642m,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7031979k,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb34827202,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4369686q,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3516843c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb9796338t,290
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3516956v,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4813895x,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb35509807,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3175088s,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3585028n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb74074111,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3585031h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb0103595j,16
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3653288t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb9489334k,16
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb36874184,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb62469807,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb36874210,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb2151396v,8
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3687422h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6076349q,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3721553h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb34141940,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3755679t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6895460k,67
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3755682p,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6144600v,14
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3789817k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb08204951,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb38239430,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb49159255,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb38581596,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb7338994w,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3926331c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb37213654,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3926333d,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6520036p,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3960459z,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3550720f,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb40628504,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6929584d,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4062853p,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4028546c,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4062925q,dams:genreForm,Pictorial Works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8977231s,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4131110v,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb90797841,1989
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4165242k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8636093v,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4165244m,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4608757k,10
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb42676322,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6315260x,26
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb43017585,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb93528192,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb43018353,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3857714z,15
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb43018395,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb99328599,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4335889c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb75439382,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4404148k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb2663352s,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4404152z,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6520021m,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4438280m,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb04790300,87
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4472534n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb2424450d,950
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4506541x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb52913446,28
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4574804q,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb17418420,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4711319q,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb1434649j,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb47454528,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6008087f,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4779581f,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb2697479m,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb48478417,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3107021f,18
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4847919c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3175088s,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4916104h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5325493w,5
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4950230c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6144604x,46
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4950300c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3072727x,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4984361k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4574633r,35
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5018493q,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb30729049,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5018497s,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8738098m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5018567s,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8192239v,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5086749k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6315260x,2998
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5120882x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb61445939,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb51550078,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb89432572,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb51550811,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb97280751,113
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5155088n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb0649516x,10
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5189140t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5803290k,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5189142v,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb0479026m,28
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5189215d,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6383348c,18
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5189221t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8670045h,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb52574014,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6929582c,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb52915312,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb19124933,22
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5291532k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb68954503,11
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb53597884,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb22879196,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5393918p,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6246996t,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb53939201,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5052435w,954
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5393921j,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb33118114,24
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5393923k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4540678g,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb54622614,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5154673v,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5496307k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb59056996,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5496310f,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5052434c,24
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5530445h,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb70661157,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5564572n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4984192n,42
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5598697f,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb80900236,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5598700x,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb6861324g,32
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5632833z,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb82265250,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5701168n,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb10931603,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5735223c,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb68613271,22
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5769424k,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb23901428,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb57694295,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb4710987b,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5837611t,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb8260652c,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5837613v,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb3857880q,24
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5905867m,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb5564383r,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5905870g,dams:genreForm,Pictorial works,FAST,Pictorial works,http://id.worldcat.org/fast/1423874,155,http://library.ucsd.edu/dc/object/bb0274244p,5
